Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
Indian Institute of Technology Bombay,"Environmental Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Female-only (including Supernumerary),1210,1210,2022,1
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,26,222,2022,1
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),349,503,2022,1
Indian Institute of Technology Bombay,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,292,303,2022,1
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",ST,Gender-Neutral,406,602,2022,1
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),716,833,2022,1
Indian Institute of Technology Mandi,"Bio Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,1379,1396,2022,1
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,791,825,2022,1
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1255,1255,2022,1
Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,263,282,2022,1
Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),307,307,2022,1
Indian Institute of Technology Mandi,"Data Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,455,479,2022,1
Indian Institute of Technology Mandi,"Data Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),559,559,2022,1
Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,718,748,2022,1
Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),887,887,2022,1
Indian Institute of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1077,1154,2022,1
Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,903,932,2022,1
Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1183,1183,2022,1
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,697,868,2022,1
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1201,1201,2022,1
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,469,545,2022,1
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),764,764,2022,1
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,598,626,2022,1
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Female-only (including Supernumerary),974,974,2022,1
