,Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
0,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1694,1901,2022,2
1,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),3159,3159,2022,2
2,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,1982,1982,2022,2
3,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Female-only (including Supernumerary),3402,3402,2022,2
4,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,2011,2011,2022,2
5,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,2050,2050,2022,2
6,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,309,351,2022,2
7,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),550,550,2022,2
8,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,459,459,2022,2
9,Indian Institute of Technology Bhubaneswar,"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,1184,1184,2022,2
10,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,827,1119,2022,2
11,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1253,1253,2022,2
12,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,614,662,2022,2
13,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),959,959,2022,2
14,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1140,1404,2022,2
15,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2536,2536,2022,2
16,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,1684,1684,2022,2
17,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,1756,1756,2022,2
18,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,1492,1724,2022,2
19,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,2019,2019,2022,2
20,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),3442,3442,2022,2
21,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,2100,2100,2022,2
22,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,236,496,2022,2
23,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1220,1325,2022,2
24,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",EWS,Gender-Neutral,372,564,2022,2
25,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,337,441,2022,2
26,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),934,1145,2022,2
27,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",EWS,Gender-Neutral,1103,1269,2022,2
28,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",EWS,Female-only (including Supernumerary),1968,1968,2022,2
29,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,457,693,2022,2
30,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1370,1628,2022,2
31,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,5,18,2022,2
32,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),48,57,2022,2
33,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",EWS,Gender-Neutral,377,437,2022,2
34,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",EWS,Female-only (including Supernumerary),674,674,2022,2
35,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,64,114,2022,2
36,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),155,203,2022,2
37,Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,117,228,2022,2
38,Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Female-only (including Supernumerary),273,445,2022,2
39,Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,582,651,2022,2
40,Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1825,1825,2022,2
41,Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,190,649,2022,2
42,Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1187,1187,2022,2
43,Indian Institute of Technology Bombay,"Environmental Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,854,1001,2022,2
44,Indian Institute of Technology Bombay,"Environmental Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Female-only (including Supernumerary),1928,1928,2022,2
45,Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,175,315,2022,2
46,Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),556,958,2022,2
47,Indian Institute of Technology Bombay,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,410,411,2022,2
48,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,572,793,2022,2
49,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1471,1710,2022,2
50,Indian Institute of Technology Mandi,"Bio Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,2155,2162,2022,2
51,Indian Institute of Technology Mandi,"Bio Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Female-only (including Supernumerary),3573,3573,2022,2
52,Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1650,1848,2022,2
53,Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),3000,3000,2022,2
54,Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,312,419,2022,2
55,Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),857,857,2022,2
56,Indian Institute of Technology Mandi,"Data Science and Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,466,521,2022,2
57,Indian Institute of Technology Mandi,"Data Science and Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1087,1087,2022,2
58,Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,870,1099,2022,2
59,Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2034,2034,2022,2
60,Indian Institute of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1865,1877,2022,2
61,Indian Institute of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),3188,3188,2022,2
62,Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1235,1501,2022,2
63,Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2863,2863,2022,2
