,Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
37,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",OPEN,Female-only (including Supernumerary),10036,11453,2022,2
38,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1941,3446,2022,2
39,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),4728,7079,2022,2
40,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1,60,2022,2
41,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),16,305,2022,2
42,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",OPEN,Gender-Neutral,1577,2107,2022,2
43,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",OPEN,Female-only (including Supernumerary),3238,4590,2022,2
44,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,103,369,2022,2
45,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),1065,1283,2022,2
46,Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,374,843,2022,2
47,Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Female-only (including Supernumerary),1379,1901,2022,2
48,Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1116,2381,2022,2
49,Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),3498,5022,2022,2
50,Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,200,1447,2022,2
51,Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),2113,3349,2022,2
52,Indian Institute of Technology Bombay,"Environmental Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,3926,4736,2022,2
53,Indian Institute of Technology Bombay,"Environmental Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Female-only (including Supernumerary),8187,9590,2022,2
54,Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,141,1382,2022,2
55,Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),971,3036,2022,2
56,Indian Institute of Technology Bombay,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,1409,1492,2022,2
57,Indian Institute of Technology Bombay,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Female-only (including Supernumerary),3531,4102,2022,2
58,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2476,3766,2022,2
59,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),6625,8417,2022,2
60,Indian Institute of Technology Mandi,"Bio Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,12713,13562,2022,2
