,Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
0,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,677,737,2022,6
1,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),990,990,2022,6
2,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Female-only (including Supernumerary),1473,1473,2022,6
3,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,910,910,2022,6
4,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,142,204,2022,6
5,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),225,225,2022,6
6,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,371,371,2022,6
7,Indian Institute of Technology Bhubaneswar,"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,854,854,2022,6
8,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,636,661,2022,6
9,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1052,1052,2022,6
10,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,338,390,2022,6
11,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),853,853,2022,6
12,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,532,978,2022,6
13,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1079,1079,2022,6
14,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,1058,1058,2022,6
15,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Female-only (including Supernumerary),1430,1430,2022,6
16,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,1049,1049,2022,6
17,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,1025,1025,2022,6
18,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1269,1269,2022,6
19,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),99P,99P,2022,6
20,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,1357,1357,2022,6
21,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,317,396,2022,6
22,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),231,231,2022,6
23,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",ST,Gender-Neutral,427,427,2022,6
24,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,270,404,2022,6
25,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),680,695,2022,6
26,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",ST,Gender-Neutral,969,1024,2022,6
27,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),1278,1278,2022,6
28,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,72,257,2022,6
29,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),526,612,2022,6
30,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1,9,2022,6
31,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),11,55,2022,6
32,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",ST,Gender-Neutral,274,436,2022,6
33,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),1102,1102,2022,6
34,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,28,102,2022,6
35,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),208,208,2022,6
36,Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,105,217,2022,6
37,Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Female-only (including Supernumerary),553,553,2022,6
38,Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,555,640,2022,6
39,Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),904,904,2022,6
40,Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",ST,Gender-Neutral,322,615,2022,6
41,Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),308,308,2022,6
42,Indian Institute of Technology Bombay,"Environmental Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,715,847,2022,6
43,Indian Institute of Technology Bombay,"Environmental Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Female-only (including Supernumerary),1239,1239,2022,6
44,Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,26,222,2022,6
45,Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),349,503,2022,6
46,Indian Institute of Technology Bombay,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,292,303,2022,6
47,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",ST,Gender-Neutral,406,602,2022,6
48,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),716,833,2022,6
49,Indian Institute of Technology Mandi,"Bio Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,1433,1446,2022,6
50,Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,813,864,2022,6
51,Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1255,1255,2022,6
52,Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,263,310,2022,6
53,Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),307,307,2022,6
54,Indian Institute of Technology Mandi,"Data Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,479,505,2022,6
55,Indian Institute of Technology Mandi,"Data Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),559,559,2022,6
56,Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,718,844,2022,6
57,Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),887,887,2022,6
58,Indian Institute of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1299,1311,2022,6
59,Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,922,994,2022,6
60,Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1183,1183,2022,6
61,Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,697,924,2022,6
62,Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1201,1201,2022,6
63,Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,518,565,2022,6
64,Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),764,764,2022,6
65,Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,598,626,2022,6
66,Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Female-only (including Supernumerary),974,974,2022,6
67,Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,31,170,2022,6
68,Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),272,530,2022,6
69,Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,10,18,2022,6
70,Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),58,92,2022,6
71,Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,46,49,2022,6
72,Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Female-only (including Supernumerary),191,191,2022,6
73,Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,12,114,2022,6
74,Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),40,177,2022,6
