Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),61,534,2022,1
Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Gender-Neutral,135,267,2022,1
Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Female-only (including Supernumerary),543,832,2022,1
Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,873,1045,2022,1
Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1567,1567,2022,1
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",SC,Gender-Neutral,498,696,2022,1
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1606,1684,2022,1
Indian Institute of Technology Bombay,"Environmental Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Gender-Neutral,1095,1398,2022,1
Indian Institute of Technology Bombay,"Environmental Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Female-only (including Supernumerary),2454,2454,2022,1
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,142,369,2022,1
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),625,1039,2022,1
Indian Institute of Technology Bombay,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Gender-Neutral,443,469,2022,1
Indian Institute of Technology Bombay,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Female-only (including Supernumerary),1349,1349,2022,1
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",SC,Gender-Neutral,890,1066,2022,1
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1871,2312,2022,1
Indian Institute of Technology Mandi,"Bio Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Gender-Neutral,2469,2730,2022,1
Indian Institute of Technology Mandi,"Bio Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Female-only (including Supernumerary),3852,3852,2022,1
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1973,2163,2022,1
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2811,2811,2022,1
Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,447,632,2022,1
Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1286,1309,2022,1
Indian Institute of Technology Mandi,"Data Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,825,949,2022,1
Indian Institute of Technology Mandi,"Data Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1519,1519,2022,1
Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,969,1574,2022,1
Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2223,2236,2022,1
Indian Institute of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",SC,Gender-Neutral,2241,2330,2022,1
Indian Institute of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3458,3458,2022,1
Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1633,1933,2022,1
Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3148,3157,2022,1
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,940,1500,2022,1
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1822,2078,2022,1
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,228,650,2022,1
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),840,1016,2022,1
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Gender-Neutral,750,976,2022,1
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Female-only (including Supernumerary),1536,1578,2022,1
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,362,850,2022,1
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1584,1644,2022,1
Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,16,32,2022,1
Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),55,130,2022,1
Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Gender-Neutral,34,74,2022,1
Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Female-only (including Supernumerary),305,305,2022,1
Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,73,204,2022,1
Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),594,706,2022,1
Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",SC,Gender-Neutral,210,255,2022,1
Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),707,743,2022,1
Indian Institute of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,619,1108,2022,1
Indian Institute of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1196,1196,2022,1
Indian Institute of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",SC,Gender-Neutral,223,300,2022,1
Indian Institute of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),886,886,2022,1
Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",SC,Gender-Neutral,680,958,2022,1
Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1804,2043,2022,1
Indian Institute of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1157,1261,2022,1
Indian Institute of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1735,1735,2022,1
Indian Institute of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",SC,Gender-Neutral,30,125,2022,1
Indian Institute of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),407,589,2022,1
Indian Institute of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Gender-Neutral,111,183,2022,1
Indian Institute of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Female-only (including Supernumerary),628,628,2022,1
Indian Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,260,460,2022,1
