,Unnamed: 0,Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
8,57349,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,297,1464,2022,6
9,57350,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1852,2448,2022,6
22,57363,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,SC,Gender-Neutral,1581,2948,2022,6
23,57364,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,SC,Female-only (including Supernumerary),2683,5119,2022,6
35,57376,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,SC,Gender-Neutral,2979,3448,2022,6
36,57377,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,SC,Female-only (including Supernumerary),4359,5318,2022,6
45,57386,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,2172,4861,2022,6
51,57392,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,4782,6765,2022,6
61,57402,Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,2322,4473,2022,6
62,57403,Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2879,4800,2022,6
73,57414,Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,4705,6952,2022,6
74,57415,Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),7815,8231,2022,6
82,57423,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,3419,6865,2022,6
88,57429,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,7233,8186,2022,6
96,57437,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,3542,5239,2022,6
103,57444,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Information Technology (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,5374,5939,2022,6
109,57450,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,4648,5989,2022,6
114,57455,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,6692,7890,2022,6
120,57461,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Information Technology (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,6300,7036,2022,6
