,Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
42,Indian Institute of Technology Bombay,"Environmental Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,715,847,2022,4
43,Indian Institute of Technology Bombay,"Environmental Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Female-only (including Supernumerary),1239,1239,2022,4
44,Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,26,222,2022,4
45,Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),349,503,2022,4
46,Indian Institute of Technology Bombay,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,292,303,2022,4
47,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",ST,Gender-Neutral,406,602,2022,4
48,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),716,833,2022,4
49,Indian Institute of Technology Mandi,"Bio Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,1433,1446,2022,4
50,Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,813,844,2022,4
51,Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1255,1255,2022,4
52,Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,263,310,2022,4
53,Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),307,307,2022,4
54,Indian Institute of Technology Mandi,"Data Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,455,479,2022,4
55,Indian Institute of Technology Mandi,"Data Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),559,559,2022,4
56,Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,718,748,2022,4
