,Unnamed: 0,Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
0,18271,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,5198,6334,2022,2
1,18272,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),8385,11517,2022,2
13,18284,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OPEN,Gender-Neutral,6346,10016,2022,2
14,18285,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OPEN,Female-only (including Supernumerary),12517,16893,2022,2
27,18298,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,OPEN,Gender-Neutral,10106,12859,2022,2
28,18299,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,OPEN,Female-only (including Supernumerary),15614,19244,2022,2
39,18310,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,11073,19160,2022,2
47,18318,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,19953,25547,2022,2
54,18325,Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,10347,18499,2022,2
55,18326,Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),1895,24160,2022,2
67,18338,Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2396,28188,2022,2
68,18339,Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),21732,30680,2022,2
78,18349,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,14734,31591,2022,2
85,18356,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,32258,36233,2022,2
91,18362,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,6552,17870,2022,2
99,18370,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Information Technology (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,14326,20072,2022,2
106,18377,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,17616,23775,2022,2
112,18383,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,27949,32839,2022,2
118,18389,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Information Technology (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,23800,27916,2022,2
124,18395,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,10891,24496,2022,2
132,18403,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,25524,32799,2022,2
137,18408,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,10581,17710,2022,2
138,18409,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),14623,24211,2022,2
151,18422,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat","Information Technology (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,10754,19901,2022,2
152,18423,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat","Information Technology (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),24873,25277,2022,2
161,18432,"Indian Institute of Information Technology, Allahabad","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,5493,8690,2022,2
162,18433,"Indian Institute of Information Technology, Allahabad","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),12298,16320,2022,2
176,18447,"Indian Institute of Information Technology, Allahabad","Electronics and Communication Engineering (Under Flexible Academic Program) (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,5692,9072,2022,2
177,18448,"Indian Institute of Information Technology, Allahabad","Electronics and Communication Engineering (Under Flexible Academic Program) (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),12232,15072,2022,2
186,18457,"Indian Institute of Information Technology, Allahabad","Information Technology (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,1711,4844,2022,2
187,18458,"Indian Institute of Information Technology, Allahabad","Information Technology (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),2849,8594,2022,2
203,18474,"Indian Institute of Information Technology, Allahabad","Information Technology (Under Flexible Academic Program) (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2920,4988,2022,2
204,18475,"Indian Institute of Information Technology, Allahabad","Information Technology (Under Flexible Academic Program) (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),6785,9393,2022,2
213,18484,"Indian Institute of Information Technology, Allahabad","Information Technology-Business Informatics (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,3458,5223,2022,2
214,18485,"Indian Institute of Information Technology, Allahabad","Information Technology-Business Informatics (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),7308,9114,2022,2
225,18496,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,7419,15077,2022,2
226,18497,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),14798,20125,2022,2
238,18509,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Computer Science and Engineering with Major in Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,10422,15656,2022,2
239,18510,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Computer Science and Engineering with Major in Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),14295,22033,2022,2
250,18521,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,15390,25105,2022,2
251,18522,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),23502,28315,2022,2
263,18534,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,25728,41485,2022,2
264,18535,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),43519,50658,2022,2
273,18544,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Smart Manufacturing (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,16756,43273,2022,2
274,18545,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Smart Manufacturing (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),44378,51112,2022,2
284,18555,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,6773,12692,2022,2
285,18556,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),11773,18438,2022,2
300,18571,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,14115,19773,2022,2
